,title,sonnet_num,line,line_number_global,line_number,neg,neu,pos,compound,Verbs,Nouns,Adverbs,Corpus
481,Sonnets,35.0,"Authorizing thy trespass with compare,",482.0,6,0.0,1.0,0.0,0.0,authorize,trespass compare,,authorize thy trespass compare 
482,Sonnets,35.0,"Myself corrupting, salving thy amiss,",483.0,7,0.0,1.0,0.0,0.0,salve,corrupting,,corrupting salve thy amiss 
483,Sonnets,35.0,Excusing thy sins more than thy sins are;,484.0,8,0.5,0.5,0.0,-0.7184,excuse,thy sin sin,,excuse thy sin thy sin 
484,Sonnets,35.0,For to thy sensual fault I bring in sense--,485.0,9,0.278,0.722,0.0,-0.4019,thy bring,fault,,thy sensual fault bring sense 
485,Sonnets,35.0,Thy adverse party is thy advocate--,486.0,10,0.272,0.435,0.293,0.0516,thy,party advocate--,,thy adverse party thy advocate 
486,Sonnets,35.0,And 'gainst myself a lawful plea commence.,487.0,11,0.0,1.0,0.0,0.0,gainst,plea commence,, gainst lawful plea commence 
487,Sonnets,35.0,"Such civil war is in my love and hate,",488.0,12,0.427,0.337,0.236,-0.5267,,war love hate,,civil war love hate 
488,Sonnets,35.0,That I an accessary needs must be,489.0,13,0.0,1.0,0.0,0.0,must,need,,accessary need
489,Sonnets,35.0,To that sweet thief which sourly robs from me.,490.0,14,0.416,0.39,0.195,-0.5267,rob,thief,sourly,sweet thief sourly rob 
490,Sonnets,36.0,"Let me confess that we two must be twain,",491.0,1,0.0,1.0,0.0,0.0,let confess must twain,,,let confess twain 
491,Sonnets,36.0,Although our undivided loves are one:,492.0,2,0.0,0.575,0.425,0.5719,,love,,undivided love 
492,Sonnets,36.0,"So shall those blots that do with me remain,",493.0,3,0.0,1.0,0.0,0.0,shall remain,blot,,shall blot remain 
493,Sonnets,36.0,"Without thy help, by me be borne alone.",494.0,4,0.415,0.585,0.0,-0.5037,bear,help,,thy help bear 
494,Sonnets,36.0,"In our two loves there is but one respect,",495.0,5,0.0,0.519,0.481,0.7579,,love respect,,love respect 
495,Sonnets,36.0,"Though in our lives a separable spite,",496.0,6,0.405,0.595,0.0,-0.5267,,life spite,,life separable spite 
496,Sonnets,36.0,"Which though it alter not love's sole effect,",497.0,7,0.0,1.0,0.0,0.0,alter love,effect,,alter love sole effect 
497,Sonnets,36.0,Yet doth it steal sweet hours from love's delight.,498.0,8,0.199,0.373,0.429,0.5719,doth steal,hour love delight,,doth steal sweet hour love delight 
498,Sonnets,36.0,"I may not evermore acknowledge thee,",499.0,9,0.0,1.0,0.0,0.0,may acknowledge,,evermore,evermore acknowledge thee 
499,Sonnets,36.0,"Lest my bewailed guilt should do thee shame,",500.0,10,0.464,0.536,0.0,-0.6369,bewail should,guilt shame,,lest bewail guilt thee shame 
500,Sonnets,36.0,"Nor thou with public kindness honor me,",501.0,11,0.0,0.446,0.554,0.7351,honor,kindness,,thou public kindness honor 
501,Sonnets,36.0,Unless thou take that honor from thy name.,502.0,12,0.0,0.686,0.314,0.4939,take,honor name,,thou honor thy 
502,Sonnets,36.0,"But do not so, I love thee in such sort,",503.0,13,0.422,0.578,0.0,-0.7812,love,sort,so, love thee sort 
503,Sonnets,36.0,"As thou being mine, mine is thy good report.",504.0,14,0.0,0.734,0.266,0.4404,,mine mine report,,thou thy good report 
504,Sonnets,37.0,As a decrepit father takes delight,505.0,1,0.0,0.506,0.494,0.5994,take,father delight,,decrepit father take delight
505,Sonnets,37.0,"To see his active child do deeds of youth,",506.0,2,0.0,0.748,0.252,0.4019,see,child deed youth,,active child deed youth 
506,Sonnets,37.0,"So I, made lame by Fortune's dearest spite,",507.0,3,0.429,0.332,0.239,-0.4336,make,spite,so, lame Fortune dear spite 
507,Sonnets,37.0,Take all my comfort of thy worth and truth.,508.0,4,0.0,0.472,0.528,0.6908,take,comfort worth truth,,comfort thy worth truth 
508,Sonnets,37.0,"For whether beauty, birth, or wealth, or wit,",509.0,5,0.0,0.462,0.538,0.7906,,beauty birth wealth wit,,beauty birth wealth wit 
509,Sonnets,37.0,"Or any of these all, or all, or more,",510.0,6,0.0,1.0,0.0,0.0,,,, 
510,Sonnets,37.0,"Intitled in thy parts do crowned sit,",511.0,7,0.0,1.0,0.0,0.0,intitle crown sit,part,,intitle thy part crown sit 
511,Sonnets,37.0,I make my love ingrafted to this store:,512.0,8,0.0,0.588,0.412,0.6369,make ingraft,love store,,love ingraft store 
512,Sonnets,37.0,"So then I am not lame, poor, nor despis'd,",513.0,9,0.0,0.551,0.449,0.5975,,,then,lame poor despis d 
513,Sonnets,37.0,"Whilst that this shadow doth such substance give,",514.0,10,0.0,1.0,0.0,0.0,,shadow doth substance give,,whilst shadow doth substance 
514,Sonnets,37.0,"That I in thy abundance am suffic'd,",515.0,11,0.0,1.0,0.0,0.0,,abundance,,thy abundance suffic d 
515,Sonnets,37.0,And by a part of all thy glory live.,516.0,12,0.0,0.667,0.333,0.5423,live,part thy glory,,thy glory live 
516,Sonnets,37.0,"Look what is best, that best I wish in thee:",517.0,13,0.0,0.351,0.649,0.9022,look wish,,,look good good wish thee 
517,Sonnets,37.0,"This wish I have, then ten times happy me!",518.0,14,0.0,0.473,0.527,0.7712,,wish time,then,wish time happy 
518,Sonnets,38.0,How can my Muse want subject to invent,519.0,1,0.0,0.843,0.157,0.0772,can want,subject invent,how,Muse want subject invent
519,Sonnets,38.0,"While thou dost breathe, that pour'st into my verse",520.0,2,0.0,1.0,0.0,0.0,,pour'st verse,,thou dost breathe pour st verse
520,Sonnets,38.0,"Thine own sweet argument, too excellent",521.0,3,0.205,0.246,0.549,0.6369,,argument,too,thine sweet argument excellent
521,Sonnets,38.0,For every vulgar paper to rehearse?,522.0,4,0.0,1.0,0.0,0.0,rehearse,paper,,vulgar paper rehearse 
522,Sonnets,38.0,"O, give thyself the thanks if aught in me",523.0,5,0.0,0.734,0.266,0.4404,give aught,thank,,o thyself thank aught
523,Sonnets,38.0,"Worthy perusal stand against thy sight,",524.0,6,0.0,0.633,0.367,0.4404,stand,perusal sight,,worthy perusal stand thy sight 
524,Sonnets,38.0,"For who's so dumb that cannot write to thee,",525.0,7,0.346,0.654,0.0,-0.6418,can write,,so,dumb write thee 
525,Sonnets,38.0,When thou thyself dost give invention light?,526.0,8,0.0,1.0,0.0,0.0,give,invention light,when,thou thyself dost invention light 
526,Sonnets,38.0,"Be thou the tenth Muse, ten times more in worth",527.0,9,0.0,0.805,0.195,0.2911,,time,,thou tenth Muse time worth
527,Sonnets,38.0,"Than those old nine which rhymers invocate,",528.0,10,0.0,1.0,0.0,0.0,invocate,rhymer,,old rhymer invocate 
528,Sonnets,38.0,"And he that calls on thee, let him bring forth",529.0,11,0.0,1.0,0.0,0.0,call let bring,,forth,call thee let bring forth
529,Sonnets,38.0,Eternal numbers to outlive long date.,530.0,12,0.0,1.0,0.0,0.0,,number date,,eternal number outlive long date 
530,Sonnets,38.0,"If my slight Muse do please these curious days,",531.0,13,0.0,0.603,0.397,0.5574,please,muse day,,slight muse curious day 
531,Sonnets,38.0,"The pain be mine, but thine shall be the praise.",532.0,14,0.143,0.532,0.326,0.5789,shall,pain thine praise,,pain thine shall praise 
532,Sonnets,39.0,"O, how thy worth with manners may I sing,",533.0,1,0.0,0.787,0.213,0.2263,may sing,worth manner,how,o thy worth manner sing 
533,Sonnets,39.0,When thou art all the better part of me?,534.0,2,0.0,0.734,0.266,0.4404,,part,when,thou art well 
534,Sonnets,39.0,What can mine own praise to mine own self bring?,535.0,3,0.0,0.714,0.286,0.5574,can mine mine,praise self bring,,praise self bring 
535,Sonnets,39.0,And what is't but mine own when I praise thee?,536.0,4,0.0,0.62,0.38,0.7096,praise,mine,when,is t praise thee 
536,Sonnets,39.0,"Even for this, let us divided live,",537.0,5,0.0,1.0,0.0,0.0,let divided,,even live, let divided live 
537,Sonnets,39.0,And our dear love lose name of single one.,538.0,6,0.174,0.387,0.439,0.6249,,love lose name,,dear love lose single 
538,Sonnets,39.0,That by this separation I may give,539.0,7,0.0,1.0,0.0,0.0,may give,separation,,separation
